Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,467.831,1.31006e-14,0,1,0,1.10907e-7,2.82877e-8,0,0
0.0001,467.831,1.31006e-14,6.51875e-10,1,0,1.10907e-7,2.82877e-8,1.58532e-14,4.08196e-15
0.000125,467.831,1.31006e-14,8.14843e-10,1,0,1.10907e-7,2.82877e-8,1.98165e-14,5.10245e-15
0.00015,467.831,1.31006e-14,9.77812e-10,1,0,1.10907e-7,2.82877e-8,2.37798e-14,6.12294e-15
0.000175,467.831,1.31006e-14,1.14078e-9,1,0,1.10907e-7,2.82877e-8,2.7743e-14,7.14343e-15
0.0002,467.831,1.31006e-14,1.30375e-9,1,0,1.10907e-7,2.82877e-8,3.17063e-14,8.16392e-15
0.000225,467.831,1.31006e-14,1.46672e-9,1,0,1.10907e-7,2.82877e-8,3.56696e-14,9.18441e-15
0.00025,467.831,1.31006e-14,1.62969e-9,1,0,1.10907e-7,2.82877e-8,3.96329e-14,1.02049e-14
0.000275,467.831,1.31006e-14,1.79266e-9,1,0,1.10907e-7,2.82877e-8,4.35962e-14,1.12254e-14
0.0003,467.831,1.31006e-14,1.95562e-9,1,0,1.10907e-7,2.82877e-8,4.75595e-14,1.22459e-14
0.000325,467.831,1.31006e-14,2.11859e-9,1,0,1.10907e-7,2.82877e-8,5.15228e-14,1.32664e-14
0.00035,467.831,1.31006e-14,2.28156e-9,1,0,1.10907e-7,2.82877e-8,5.54861e-14,1.42869e-14
0.000375,467.831,1.31006e-14,2.44453e-9,1,0,1.10907e-7,2.82877e-8,5.94494e-14,1.53073e-14
0.0004,467.831,1.31006e-14,2.6075e-9,1,0,1.10907e-7,2.82877e-8,6.34127e-14,1.63278e-14
0.000425,467.831,1.31006e-14,2.77047e-9,1,0,1.10907e-7,2.82877e-8,6.7376e-14,1.73483e-14
0.00045,467.831,1.31006e-14,2.93344e-9,1,0,1.10907e-7,2.82877e-8,7.13392e-14,1.83688e-14
0.000475,467.831,1.31006e-14,3.0964e-9,1,0,1.10907e-7,2.82877e-8,7.53025e-14,1.93893e-14
0.0005,467.831,1.31006e-14,3.25937e-9,1,0,1.10907e-7,2.82877e-8,7.92658e-14,2.04098e-14
0.000525,467.831,1.31006e-14,3.42234e-9,1,0,1.10907e-7,2.82877e-8,8.32291e-14,2.14303e-14
0.00055,467.831,1.31006e-14,3.58531e-9,1,0,1.10907e-7,2.82877e-8,8.71924e-14,2.24508e-14
0.000575,467.831,1.31006e-14,3.74828e-9,1,0,1.10907e-7,2.82877e-8,9.11557e-14,2.34713e-14
0.0006,467.831,1.31006e-14,3.91125e-9,1,0,1.10907e-7,2.82877e-8,9.5119e-14,2.44918e-14
0.000625,467.831,1.31006e-14,4.07422e-9,1,0,1.10907e-7,2.82877e-8,9.90823e-14,2.55122e-14
0.00065,467.831,1.31006e-14,4.23719e-9,1,0,1.10907e-7,2.82877e-8,1.03046e-13,2.65327e-14
0.000675,467.831,1.31006e-14,4.40016e-9,1,0,1.10907e-7,2.82877e-8,1.07009e-13,2.75532e-14
0.0007,467.831,1.31006e-14,4.56312e-9,1,0,1.10907e-7,2.82877e-8,1.10972e-13,2.85737e-14
0.000725,467.831,1.31006e-14,4.72609e-9,1,0,1.10907e-7,2.82877e-8,1.14935e-13,2.95942e-14
0.00075,467.831,1.31006e-14,4.88906e-9,1,0,1.10907e-7,2.82877e-8,1.18899e-13,3.06147e-14
0.000775,467.831,1.31006e-14,5.05203e-9,1,0,1.10907e-7,2.82877e-8,1.22862e-13,3.16352e-14
0.0008,467.831,1.31006e-14,5.215e-9,1,0,1.10907e-7,2.82877e-8,1.26825e-13,3.26557e-14
0.000825,467.831,1.31006e-14,5.37797e-9,1,0,1.10907e-7,2.82877e-8,1.30789e-13,3.36762e-14
0.00085,467.831,1.31006e-14,5.54094e-9,1,0,1.10907e-7,2.82877e-8,1.34752e-13,3.46967e-14
0.000875,467.831,1.31006e-14,5.70391e-9,1,0,1.10907e-7,2.82877e-8,1.38715e-13,3.57171e-14
0.0009,467.831,1.31006e-14,5.86688e-9,1,0,1.10907e-7,2.82877e-8,1.42678e-13,3.67376e-14
0.000925,467.831,1.31006e-14,6.02984e-9,1,0,1.10907e-7,2.82877e-8,1.46642e-13,3.77581e-14
0.00095,467.831,1.31006e-14,6.19281e-9,1,0,1.10907e-7,2.82877e-8,1.50605e-13,3.87786e-14
0.000975,467.831,1.31006e-14,6.35578e-9,1,0,1.10907e-7,2.82877e-8,1.54568e-13,3.97991e-14
0.001,467.831,1.31006e-14,6.51875e-9,1,0,1.10907e-7,2.82877e-8,1.58532e-13,4.08196e-14
0.00125,467.83,1.31006e-14,8.14844e-9,1,0,1.10907e-7,2.82877e-8,1.98164e-13,5.10245e-14
0.0015,467.829,1.31006e-14,9.77814e-9,1,0,1.10907e-7,2.82877e-8,2.37797e-13,6.12294e-14
0.00175,467.829,1.31005e-14,1.14078e-8,1,0,1.10907e-7,2.82877e-8,2.7743e-13,7.14343e-14
0.002,467.828,1.31005e-14,1.30375e-8,1,0,1.10907e-7,2.82876e-8,3.17062e-13,8.16392e-14
0.00225,467.827,1.31005e-14,1.46672e-8,1,0,1.10907e-7,2.82876e-8,3.56695e-13,9.18441e-14
0.0025,467.826,1.31005e-14,1.62969e-8,1,0,1.10907e-7,2.82876e-8,3.96327e-13,1.02049e-13
0.00275,467.825,1.31004e-14,1.79267e-8,1,0,1.10906e-7,2.82876e-8,4.35959e-13,1.12254e-13
0.003,467.824,1.31004e-14,1.95564e-8,1,0,1.10906e-7,2.82876e-8,4.75591e-13,1.22459e-13
0.00325,467.822,1.31004e-14,2.11861e-8,1,0,1.10906e-7,2.82876e-8,5.15223e-13,1.32664e-13
0.0035,467.821,1.31003e-14,2.28158e-8,1,0,1.10906e-7,2.82876e-8,5.54854e-13,1.42868e-13
0.00375,467.819,1.31003e-14,2.44456e-8,1,0,1.10906e-7,2.82876e-8,5.94486e-13,1.53073e-13
0.004,467.818,1.31002e-14,2.60753e-8,1,0,1.10906e-7,2.82876e-8,6.34117e-13,1.63278e-13
0.00425,467.816,1.31002e-14,2.77051e-8,1,0,1.10905e-7,2.82876e-8,6.73748e-13,1.73483e-13
0.0045,467.814,1.31001e-14,2.93348e-8,1,0,1.10905e-7,2.82876e-8,7.13379e-13,1.83688e-13
0.00475,467.812,1.31001e-14,3.09646e-8,1,0,1.10905e-7,2.82876e-8,7.53009e-13,1.93893e-13
0.005,467.81,1.31e-14,3.25944e-8,1,0,1.10905e-7,2.82876e-8,7.92639e-13,2.04097e-13
0.00525,467.808,1.31e-14,3.42241e-8,1,0,1.10904e-7,2.82876e-8,8.32269e-13,2.14302e-13
0.0055,467.806,1.30999e-14,3.58539e-8,1,0,1.10904e-7,2.82876e-8,8.71899e-13,2.24507e-13
0.00575,467.803,1.30998e-14,3.74837e-8,1,0,1.10904e-7,2.82876e-8,9.11528e-13,2.34712e-13
0.006,467.801,1.30998e-14,3.91136e-8,1,0,1.10903e-7,2.82876e-8,9.51157e-13,2.44917e-13
0.00625,467.798,1.30997e-14,4.07434e-8,1,0,1.10903e-7,2.82875e-8,9.90786e-13,2.55121e-13
0.0065,467.796,1.30996e-14,4.23732e-8,1,0,1.10903e-7,2.82875e-8,1.03041e-12,2.65326e-13
0.00675,467.793,1.30995e-14,4.40031e-8,1,0,1.10902e-7,2.82875e-8,1.07004e-12,2.75531e-13
0.007,467.79,1.30995e-14,4.56329e-8,1,0,1.10902e-7,2.82875e-8,1.10967e-12,2.85736e-13
0.00725,467.787,1.30994e-14,4.72628e-8,1,0,1.10902e-7,2.82875e-8,1.1493e-12,2.95941e-13
