Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,50.6936,1.41957e-15,0,1,0,-3.46051e-8,1.49014e-8,0,0
0.0001,50.6936,1.41957e-15,1.19142e-10,1,0,-3.46051e-8,1.49014e-8,-6.01844e-17,2.34725e-17
0.000125,50.6936,1.41957e-15,1.48927e-10,1,0,-3.46051e-8,1.49014e-8,-7.52305e-17,2.93406e-17
0.00015,50.6936,1.41957e-15,1.78713e-10,1,0,-3.46051e-8,1.49014e-8,-9.02765e-17,3.52088e-17
0.000175,50.6936,1.41957e-15,2.08498e-10,1,0,-3.46051e-8,1.49014e-8,-1.05323e-16,4.10769e-17
0.0002,50.6936,1.41957e-15,2.38284e-10,1,0,-3.46051e-8,1.49014e-8,-1.20369e-16,4.6945e-17
0.000225,50.6936,1.41957e-15,2.68069e-10,1,0,-3.46051e-8,1.49014e-8,-1.35415e-16,5.28131e-17
0.00025,50.6936,1.41957e-15,2.97855e-10,1,0,-3.46051e-8,1.49014e-8,-1.50461e-16,5.86813e-17
0.000275,50.6936,1.41957e-15,3.2764e-10,1,0,-3.46051e-8,1.49014e-8,-1.65507e-16,6.45494e-17
0.0003,50.6936,1.41957e-15,3.57426e-10,1,0,-3.46051e-8,1.49014e-8,-1.80553e-16,7.04175e-17
0.000325,50.6936,1.41957e-15,3.87211e-10,1,0,-3.46051e-8,1.49014e-8,-1.95599e-16,7.62856e-17
0.00035,50.6936,1.41957e-15,4.16997e-10,1,0,-3.46051e-8,1.49014e-8,-2.10645e-16,8.21538e-17
0.000375,50.6936,1.41957e-15,4.46782e-10,1,0,-3.46051e-8,1.49014e-8,-2.25691e-16,8.80219e-17
0.0004,50.6936,1.41957e-15,4.76568e-10,1,0,-3.46051e-8,1.49014e-8,-2.40737e-16,9.389e-17
0.000425,50.6936,1.41957e-15,5.06353e-10,1,0,-3.46051e-8,1.49014e-8,-2.55784e-16,9.97581e-17
0.00045,50.6936,1.41957e-15,5.36138e-10,1,0,-3.46051e-8,1.49014e-8,-2.7083e-16,1.05626e-16
0.000475,50.6936,1.41957e-15,5.65924e-10,1,0,-3.46051e-8,1.49014e-8,-2.85876e-16,1.11494e-16
0.0005,50.6936,1.41957e-15,5.95709e-10,1,0,-3.46051e-8,1.49014e-8,-3.00922e-16,1.17363e-16
0.000525,50.6936,1.41957e-15,6.25495e-10,1,0,-3.46051e-8,1.49014e-8,-3.15968e-16,1.23231e-16
0.00055,50.6936,1.41957e-15,6.5528e-10,1,0,-3.46051e-8,1.49014e-8,-3.31014e-16,1.29099e-16
0.000575,50.6936,1.41957e-15,6.85066e-10,1,0,-3.46051e-8,1.49014e-8,-3.4606e-16,1.34967e-16
0.0006,50.6936,1.41957e-15,7.14851e-10,1,0,-3.46051e-8,1.49014e-8,-3.61106e-16,1.40835e-16
0.000625,50.6936,1.41957e-15,7.44637e-10,1,0,-3.46051e-8,1.49014e-8,-3.76152e-16,1.46703e-16
0.00065,50.6936,1.41957e-15,7.74422e-10,1,0,-3.46051e-8,1.49014e-8,-3.91198e-16,1.52571e-16
0.000675,50.6936,1.41957e-15,8.04208e-10,1,0,-3.46051e-8,1.49014e-8,-4.06244e-16,1.58439e-16
0.0007,50.6936,1.41957e-15,8.33993e-10,1,0,-3.46051e-8,1.49014e-8,-4.21291e-16,1.64308e-16
0.000725,50.6936,1.41957e-15,8.63779e-10,1,0,-3.46051e-8,1.49014e-8,-4.36337e-16,1.70176e-16
0.00075,50.6936,1.41957e-15,8.93564e-10,1,0,-3.46051e-8,1.49014e-8,-4.51383e-16,1.76044e-16
0.000775,50.6936,1.41957e-15,9.2335e-10,1,0,-3.46051e-8,1.49014e-8,-4.66429e-16,1.81912e-16
0.0008,50.6936,1.41957e-15,9.53135e-10,1,0,-3.46051e-8,1.49014e-8,-4.81475e-16,1.8778e-16
0.000825,50.6936,1.41957e-15,9.82921e-10,1,0,-3.46051e-8,1.49014e-8,-4.96521e-16,1.93648e-16
0.00085,50.6936,1.41957e-15,1.01271e-9,1,0,-3.46051e-8,1.49014e-8,-5.11567e-16,1.99516e-16
0.000875,50.6936,1.41957e-15,1.04249e-9,1,0,-3.46051e-8,1.49014e-8,-5.26613e-16,2.05384e-16
0.0009,50.6936,1.41957e-15,1.07228e-9,1,0,-3.46051e-8,1.49014e-8,-5.41659e-16,2.11253e-16
0.000925,50.6936,1.41957e-15,1.10206e-9,1,0,-3.46051e-8,1.49014e-8,-5.56705e-16,2.17121e-16
0.00095,50.6936,1.41957e-15,1.13185e-9,1,0,-3.46051e-8,1.49014e-8,-5.71751e-16,2.22989e-16
0.000975,50.6936,1.41957e-15,1.16163e-9,1,0,-3.46051e-8,1.49014e-8,-5.86798e-16,2.28857e-16
0.001,50.6936,1.41957e-15,1.19142e-9,1,0,-3.46051e-8,1.49014e-8,-6.01844e-16,2.34725e-16
0.00125,50.6936,1.41957e-15,1.48927e-9,1,0,-3.46051e-8,1.49014e-8,-7.52305e-16,2.93406e-16
0.0015,50.6936,1.41957e-15,1.78713e-9,1,0,-3.46051e-8,1.49014e-8,-9.02765e-16,3.52088e-16
0.00175,50.6936,1.41957e-15,2.08498e-9,1,0,-3.46051e-8,1.49014e-8,-1.05323e-15,4.10769e-16
0.002,50.6936,1.41957e-15,2.38284e-9,1,0,-3.46051e-8,1.49014e-8,-1.20369e-15,4.6945e-16
