 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 1.15525E-16 cm**2 = 4.12546E+00 a0**2
 # 1st transport cross section = 1.27024E-17 cm**2 = 4.53611E-01 a0**2
 # 2nd transport cross section = 2.43352E-17 cm**2 = 8.69026E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.41957E-15  5.06936E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.41957E-15  5.06936E+01  1.19142E-10  1.0E-07
  1.250E-04  1.18994E-12  1.41957E-15  5.06936E+01  1.48927E-10  1.0E-07
  1.500E-04  1.71346E-12  1.41957E-15  5.06936E+01  1.78713E-10  1.0E-07
  1.750E-04  2.33225E-12  1.41957E-15  5.06936E+01  2.08498E-10  1.0E-07
  2.000E-04  3.04617E-12  1.41957E-15  5.06936E+01  2.38284E-10  1.0E-07
  2.250E-04  3.85530E-12  1.41957E-15  5.06936E+01  2.68069E-10  1.0E-07
  2.500E-04  4.75964E-12  1.41957E-15  5.06936E+01  2.97855E-10  1.0E-07
  2.750E-04  5.75917E-12  1.41957E-15  5.06936E+01  3.27640E-10  1.0E-07
  3.000E-04  6.85391E-12  1.41957E-15  5.06936E+01  3.57426E-10  1.0E-07
  3.250E-04  8.04379E-12  1.41957E-15  5.06936E+01  3.87211E-10  1.0E-07
  3.500E-04  9.32893E-12  1.41957E-15  5.06936E+01  4.16997E-10  1.0E-07
  3.750E-04  1.07092E-11  1.41957E-15  5.06936E+01  4.46782E-10  1.0E-07
  4.000E-04  1.21847E-11  1.41957E-15  5.06936E+01  4.76568E-10  1.0E-07
  4.250E-04  1.37554E-11  1.41957E-15  5.06936E+01  5.06353E-10  1.0E-07
  4.500E-04  1.54213E-11  1.41957E-15  5.06936E+01  5.36138E-10  1.0E-07
  4.750E-04  1.71823E-11  1.41957E-15  5.06936E+01  5.65924E-10  1.0E-07
  5.000E-04  1.90386E-11  1.41957E-15  5.06936E+01  5.95709E-10  1.0E-07
  5.250E-04  2.09900E-11  1.41957E-15  5.06936E+01  6.25495E-10  1.0E-07
  5.500E-04  2.30367E-11  1.41957E-15  5.06936E+01  6.55280E-10  1.0E-07
  5.750E-04  2.51785E-11  1.41957E-15  5.06936E+01  6.85066E-10  1.0E-07
  6.000E-04  2.74156E-11  1.41957E-15  5.06936E+01  7.14851E-10  1.0E-07
  6.250E-04  2.97478E-11  1.41957E-15  5.06936E+01  7.44637E-10  1.0E-07
  6.500E-04  3.21752E-11  1.41957E-15  5.06936E+01  7.74422E-10  1.0E-07
  6.750E-04  3.46979E-11  1.41957E-15  5.06936E+01  8.04208E-10  1.0E-07
  7.000E-04  3.73157E-11  1.41957E-15  5.06936E+01  8.33993E-10  1.0E-07
  7.250E-04  4.00286E-11  1.41957E-15  5.06936E+01  8.63779E-10  1.0E-07
  7.500E-04  4.28368E-11  1.41957E-15  5.06936E+01  8.93564E-10  1.0E-07
  7.750E-04  4.57402E-11  1.41957E-15  5.06936E+01  9.23350E-10  1.0E-07
  8.000E-04  4.87388E-11  1.41957E-15  5.06936E+01  9.53135E-10  1.0E-07
  8.250E-04  5.18325E-11  1.41957E-15  5.06936E+01  9.82921E-10  1.0E-07
  8.500E-04  5.50215E-11  1.41957E-15  5.06936E+01  1.01271E-09  1.0E-07
  8.750E-04  5.83057E-11  1.41957E-15  5.06936E+01  1.04249E-09  1.0E-07
  9.000E-04  6.16850E-11  1.41957E-15  5.06936E+01  1.07228E-09  1.0E-07
  9.250E-04  6.51595E-11  1.41957E-15  5.06936E+01  1.10206E-09  1.0E-07
  9.500E-04  6.87293E-11  1.41957E-15  5.06936E+01  1.13185E-09  1.0E-07
  9.750E-04  7.23943E-11  1.41957E-15  5.06936E+01  1.16163E-09  1.0E-07
  1.000E-03  7.61544E-11  1.41957E-15  5.06936E+01  1.19142E-09  1.0E-07
  1.250E-03  1.18991E-10  1.41957E-15  5.06936E+01  1.48927E-09  1.0E-07
  1.500E-03  1.71347E-10  1.41957E-15  5.06936E+01  1.78713E-09  1.0E-07
  1.750E-03  2.33223E-10  1.41957E-15  5.06936E+01  2.08498E-09  1.0E-07
  2.000E-03  3.04617E-10  1.41957E-15  5.06936E+01  2.38284E-09  1.0E-07
  2.250E-03  3.85531E-10  1.41957E-15  5.06936E+01  2.68069E-09  1.0E-07
  2.500E-03  4.75965E-10  1.41957E-15  5.06936E+01  2.97855E-09  1.0E-07
  2.750E-03  5.75917E-10  1.41957E-15  5.06936E+01  3.27640E-09  1.0E-07
  3.000E-03  6.85389E-10  1.41957E-15  5.06936E+01  3.57426E-09  1.0E-07
  3.250E-03  8.04380E-10  1.41957E-15  5.06936E+01  3.87211E-09  1.0E-07
  3.500E-03  9.32891E-10  1.41957E-15  5.06936E+01  4.16997E-09  1.0E-07
  3.750E-03  1.07092E-09  1.41957E-15  5.06936E+01  4.46782E-09  1.0E-07
  4.000E-03  1.21847E-09  1.41957E-15  5.06936E+01  4.76568E-09  1.0E-07
  4.250E-03  1.37554E-09  1.41957E-15  5.06936E+01  5.06353E-09  1.0E-07
  4.500E-03  1.54213E-09  1.41957E-15  5.06936E+01  5.36139E-09  1.0E-07
  4.750E-03  1.71823E-09  1.41957E-15  5.06936E+01  5.65924E-09  1.0E-07
  5.000E-03  1.90386E-09  1.41957E-15  5.06936E+01  5.95710E-09  1.0E-07
  5.250E-03  2.09900E-09  1.41957E-15  5.06936E+01  6.25495E-09  1.0E-07
  5.500E-03  2.30367E-09  1.41957E-15  5.06936E+01  6.55281E-09  1.0E-07
  5.750E-03  2.51785E-09  1.41957E-15  5.06936E+01  6.85066E-09  1.0E-07
  6.000E-03  2.74156E-09  1.41956E-15  5.06936E+01  7.14852E-09  1.0E-07
  6.250E-03  2.97478E-09  1.41956E-15  5.06936E+01  7.44637E-09  1.0E-07
  6.500E-03  3.21752E-09  1.41956E-15  5.06936E+01  7.74423E-09  1.0E-07
  6.750E-03  3.46978E-09  1.41956E-15  5.06936E+01  8.04208E-09  1.0E-07
  7.000E-03  3.73156E-09  1.41956E-15  5.06936E+01  8.33994E-09  1.0E-07
  7.250E-03  4.00286E-09  1.41956E-15  5.06936E+01  8.63779E-09  1.0E-07
  7.500E-03  4.28368E-09  1.41956E-15  5.06935E+01  8.93565E-09  1.0E-07
  7.750E-03  4.57402E-09  1.41956E-15  5.06935E+01  9.23350E-09  1.0E-07
  8.000E-03  4.87388E-09  1.41956E-15  5.06935E+01  9.53136E-09  1.0E-07
  8.250E-03  5.18326E-09  1.41956E-15  5.06935E+01  9.82922E-09  1.0E-07
  8.500E-03  5.50215E-09  1.41956E-15  5.06935E+01  1.01271E-08  1.0E-07
  8.750E-03  5.83057E-09  1.41956E-15  5.06935E+01  1.04249E-08  1.0E-07
  9.000E-03  6.16850E-09  1.41956E-15  5.06935E+01  1.07228E-08  1.0E-07
  9.250E-03  6.51596E-09  1.41956E-15  5.06935E+01  1.10206E-08  1.0E-07
  9.500E-03  6.87293E-09  1.41956E-15  5.06935E+01  1.13185E-08  1.0E-07
  9.750E-03  7.23942E-09  1.41956E-15  5.06935E+01  1.16164E-08  1.0E-07
  1.000E-02  7.61544E-09  1.41956E-15  5.06935E+01  1.19142E-08  1.0E-07
