 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+05 eV = 3.67493E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 5.76694E-18 cm**2 = 2.05941E-01 a0**2
 # 1st transport cross section = 1.86853E-20 cm**2 = 6.67264E-04 a0**2
 # 2nd transport cross section = 4.84743E-20 cm**2 = 1.73105E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.26905E-15  1.52451E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.26905E-15  1.52451E+02  3.94921E-10  1.0E-07
  1.250E-04  1.18994E-12  4.26905E-15  1.52451E+02  4.93651E-10  1.0E-07
  1.500E-04  1.71346E-12  4.26905E-15  1.52451E+02  5.92382E-10  1.0E-07
  1.750E-04  2.33225E-12  4.26905E-15  1.52451E+02  6.91112E-10  1.0E-07
  2.000E-04  3.04617E-12  4.26905E-15  1.52451E+02  7.89842E-10  1.0E-07
  2.250E-04  3.85530E-12  4.26905E-15  1.52451E+02  8.88573E-10  1.0E-07
  2.500E-04  4.75964E-12  4.26905E-15  1.52451E+02  9.87303E-10  1.0E-07
  2.750E-04  5.75917E-12  4.26905E-15  1.52451E+02  1.08603E-09  1.0E-07
  3.000E-04  6.85391E-12  4.26905E-15  1.52451E+02  1.18476E-09  1.0E-07
  3.250E-04  8.04379E-12  4.26905E-15  1.52451E+02  1.28349E-09  1.0E-07
  3.500E-04  9.32893E-12  4.26905E-15  1.52450E+02  1.38222E-09  1.0E-07
  3.750E-04  1.07092E-11  4.26905E-15  1.52450E+02  1.48095E-09  1.0E-07
  4.000E-04  1.21847E-11  4.26905E-15  1.52450E+02  1.57968E-09  1.0E-07
  4.250E-04  1.37554E-11  4.26905E-15  1.52450E+02  1.67842E-09  1.0E-07
  4.500E-04  1.54213E-11  4.26905E-15  1.52450E+02  1.77715E-09  1.0E-07
  4.750E-04  1.71823E-11  4.26905E-15  1.52450E+02  1.87588E-09  1.0E-07
  5.000E-04  1.90386E-11  4.26905E-15  1.52450E+02  1.97461E-09  1.0E-07
  5.250E-04  2.09900E-11  4.26905E-15  1.52450E+02  2.07334E-09  1.0E-07
  5.500E-04  2.30367E-11  4.26905E-15  1.52450E+02  2.17207E-09  1.0E-07
  5.750E-04  2.51785E-11  4.26905E-15  1.52450E+02  2.27080E-09  1.0E-07
  6.000E-04  2.74156E-11  4.26905E-15  1.52450E+02  2.36953E-09  1.0E-07
  6.250E-04  2.97478E-11  4.26905E-15  1.52450E+02  2.46826E-09  1.0E-07
  6.500E-04  3.21752E-11  4.26905E-15  1.52450E+02  2.56699E-09  1.0E-07
  6.750E-04  3.46979E-11  4.26904E-15  1.52450E+02  2.66572E-09  1.0E-07
  7.000E-04  3.73157E-11  4.26904E-15  1.52450E+02  2.76445E-09  1.0E-07
  7.250E-04  4.00286E-11  4.26904E-15  1.52450E+02  2.86318E-09  1.0E-07
  7.500E-04  4.28368E-11  4.26904E-15  1.52450E+02  2.96191E-09  1.0E-07
  7.750E-04  4.57402E-11  4.26904E-15  1.52450E+02  3.06064E-09  1.0E-07
  8.000E-04  4.87388E-11  4.26904E-15  1.52450E+02  3.15937E-09  1.0E-07
  8.250E-04  5.18325E-11  4.26904E-15  1.52450E+02  3.25810E-09  1.0E-07
  8.500E-04  5.50215E-11  4.26904E-15  1.52450E+02  3.35683E-09  1.0E-07
  8.750E-04  5.83057E-11  4.26904E-15  1.52450E+02  3.45556E-09  1.0E-07
  9.000E-04  6.16850E-11  4.26904E-15  1.52450E+02  3.55429E-09  1.0E-07
  9.250E-04  6.51595E-11  4.26904E-15  1.52450E+02  3.65302E-09  1.0E-07
  9.500E-04  6.87293E-11  4.26904E-15  1.52450E+02  3.75175E-09  1.0E-07
  9.750E-04  7.23943E-11  4.26904E-15  1.52450E+02  3.85049E-09  1.0E-07
  1.000E-03  7.61544E-11  4.26904E-15  1.52450E+02  3.94922E-09  1.0E-07
  1.250E-03  1.18991E-10  4.26903E-15  1.52450E+02  4.93652E-09  1.0E-07
  1.500E-03  1.71347E-10  4.26902E-15  1.52450E+02  5.92383E-09  1.0E-07
  1.750E-03  2.33223E-10  4.26901E-15  1.52449E+02  6.91115E-09  1.0E-07
  2.000E-03  3.04617E-10  4.26900E-15  1.52449E+02  7.89846E-09  1.0E-07
  2.250E-03  3.85531E-10  4.26899E-15  1.52448E+02  8.88578E-09  1.0E-07
  2.500E-03  4.75965E-10  4.26898E-15  1.52448E+02  9.87310E-09  1.0E-07
  2.750E-03  5.75917E-10  4.26896E-15  1.52447E+02  1.08604E-08  1.0E-07
  3.000E-03  6.85389E-10  4.26894E-15  1.52447E+02  1.18478E-08  1.0E-07
  3.250E-03  8.04380E-10  4.26893E-15  1.52446E+02  1.28351E-08  1.0E-07
  3.500E-03  9.32891E-10  4.26891E-15  1.52445E+02  1.38224E-08  1.0E-07
  3.750E-03  1.07092E-09  4.26888E-15  1.52445E+02  1.48098E-08  1.0E-07
  4.000E-03  1.21847E-09  4.26886E-15  1.52444E+02  1.57972E-08  1.0E-07
  4.250E-03  1.37554E-09  4.26884E-15  1.52443E+02  1.67845E-08  1.0E-07
  4.500E-03  1.54213E-09  4.26881E-15  1.52442E+02  1.77719E-08  1.0E-07
  4.750E-03  1.71823E-09  4.26878E-15  1.52441E+02  1.87593E-08  1.0E-07
  5.000E-03  1.90386E-09  4.26876E-15  1.52440E+02  1.97467E-08  1.0E-07
  5.250E-03  2.09900E-09  4.26873E-15  1.52439E+02  2.07341E-08  1.0E-07
  5.500E-03  2.30367E-09  4.26869E-15  1.52438E+02  2.17215E-08  1.0E-07
  5.750E-03  2.51785E-09  4.26866E-15  1.52437E+02  2.27089E-08  1.0E-07
