Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,52.3213,1.46515e-15,0,1,0,3.39809e-8,1.76193e-8,0,0
0.0001,52.3213,1.46515e-15,8.567e-10,1,0,3.39809e-8,1.76193e-8,6.27729e-17,5.10172e-17
0.000125,52.3213,1.46515e-15,1.07087e-9,1,0,3.39809e-8,1.76193e-8,7.84661e-17,6.37715e-17
0.00015,52.3213,1.46515e-15,1.28505e-9,1,0,3.39809e-8,1.76193e-8,9.41593e-17,7.65258e-17
0.000175,52.3213,1.46515e-15,1.49922e-9,1,0,3.39809e-8,1.76193e-8,1.09853e-16,8.92801e-17
0.0002,52.3213,1.46515e-15,1.7134e-9,1,0,3.39809e-8,1.76193e-8,1.25546e-16,1.02034e-16
0.000225,52.3213,1.46515e-15,1.92757e-9,1,0,3.39809e-8,1.76193e-8,1.41239e-16,1.14789e-16
0.00025,52.3213,1.46515e-15,2.14175e-9,1,0,3.39809e-8,1.76193e-8,1.56932e-16,1.27543e-16
0.000275,52.3213,1.46515e-15,2.35592e-9,1,0,3.39809e-8,1.76193e-8,1.72625e-16,1.40297e-16
0.0003,52.3213,1.46515e-15,2.5701e-9,1,0,3.39809e-8,1.76193e-8,1.88319e-16,1.53052e-16
0.000325,52.3213,1.46515e-15,2.78427e-9,1,0,3.39809e-8,1.76193e-8,2.04012e-16,1.65806e-16
0.00035,52.3213,1.46515e-15,2.99845e-9,1,0,3.39809e-8,1.76193e-8,2.19705e-16,1.7856e-16
0.000375,52.3213,1.46515e-15,3.21262e-9,1,0,3.39809e-8,1.76193e-8,2.35398e-16,1.91314e-16
0.0004,52.3213,1.46515e-15,3.4268e-9,1,0,3.39809e-8,1.76193e-8,2.51092e-16,2.04069e-16
0.000425,52.3213,1.46515e-15,3.64097e-9,1,0,3.39809e-8,1.76193e-8,2.66785e-16,2.16823e-16
0.00045,52.3213,1.46515e-15,3.85515e-9,1,0,3.39809e-8,1.76193e-8,2.82478e-16,2.29577e-16
0.000475,52.3213,1.46515e-15,4.06932e-9,1,0,3.39809e-8,1.76193e-8,2.98171e-16,2.42332e-16
0.0005,52.3213,1.46515e-15,4.2835e-9,1,0,3.39809e-8,1.76193e-8,3.13864e-16,2.55086e-16
0.000525,52.3213,1.46515e-15,4.49767e-9,1,0,3.39809e-8,1.76193e-8,3.29558e-16,2.6784e-16
0.00055,52.3213,1.46515e-15,4.71185e-9,1,0,3.39809e-8,1.76193e-8,3.45251e-16,2.80595e-16
0.000575,52.3213,1.46515e-15,4.92602e-9,1,0,3.39809e-8,1.76193e-8,3.60944e-16,2.93349e-16
0.0006,52.3213,1.46515e-15,5.1402e-9,1,0,3.39809e-8,1.76193e-8,3.76637e-16,3.06103e-16
0.000625,52.3213,1.46514e-15,5.35437e-9,1,0,3.39809e-8,1.76193e-8,3.92331e-16,3.18857e-16
0.00065,52.3213,1.46514e-15,5.56855e-9,1,0,3.39809e-8,1.76193e-8,4.08024e-16,3.31612e-16
0.000675,52.3213,1.46514e-15,5.78272e-9,1,0,3.39809e-8,1.76193e-8,4.23717e-16,3.44366e-16
0.0007,52.3213,1.46514e-15,5.9969e-9,1,0,3.39809e-8,1.76193e-8,4.3941e-16,3.5712e-16
0.000725,52.3213,1.46514e-15,6.21107e-9,1,0,3.39809e-8,1.76193e-8,4.55103e-16,3.69875e-16
0.00075,52.3213,1.46514e-15,6.42525e-9,1,0,3.39809e-8,1.76193e-8,4.70797e-16,3.82629e-16
0.000775,52.3213,1.46514e-15,6.63942e-9,1,0,3.39809e-8,1.76193e-8,4.8649e-16,3.95383e-16
0.0008,52.3213,1.46514e-15,6.8536e-9,1,0,3.39809e-8,1.76193e-8,5.02183e-16,4.08137e-16
0.000825,52.3213,1.46514e-15,7.06777e-9,1,0,3.39809e-8,1.76193e-8,5.17876e-16,4.20892e-16
